timestamp,book_d_v1,book_d_v2,book_imbalance_v1,book_imbalance_v2,mid_price,mean_price
12:35.8,2.01871373,78056024.14342,0.8674449712564931,0.8675103403067593,38657000.0,38654100.0
12:35.9,1.6702413499999995,65453393.059560016,0.2783964281359106,0.2787789339957883,39127500.0,39131400.0
12:36.0,0.8131871900000003,31326248.678640008,0.1645023714456478,0.16476209533532515,38460500.0,38461100.0
12:36.1,10.97137467,426993462.33493,0.7780090372602112,0.7778529408947995,38958000.0,38955050.0
12:36.2,1.1983960600000003,46959137.52391,0.44715703273050256,0.44739267672597444,39159000.0,39157800.0
12:36.3,4.486812359999999,173519808.02613002,0.4859837655354234,0.48534352836841177,38760000.0,38766900.0
12:36.4,-4.0876737499999996,-158978339.44364,-0.5981194583231403,-0.5977307354248024,38851500.0,38855100.0
12:36.5,-1.37788572,-50694578.832430124,-0.05940496954972053,-0.05632319846992295,38647000.0,38736550.0
12:36.6,2.7923173000000006,108191005.67508003,0.24146099365490656,0.24265856259158056,38503500.0,38514666.666666664
12:36.8,-0.32175476000000003,-12340325.247680001,-0.13864556742307668,-0.1383534317632565,38438000.0,38437200.0
12:36.9,3.68895508,143509417.20297998,0.4430271390537266,0.4418895935075914,38897500.0,38972300.0
12:37.1,9.40898361,365598620.32098,0.6290191018726341,0.6308263984514877,38667500.0,38668250.0
12:37.2,2.45601042,95887277.90409,0.8249394543697594,0.8249853112212614,39036500.0,39033400.0
12:37.3,2.57452138,100749740.4248,0.3976691882602049,0.3979129654452714,39110000.0,39112400.0
12:37.4,-1.5490619199999998,-61304726.06094998,-0.12078827798756513,-0.12346154042299337,38771500.0,38725600.0
12:37.5,3.5862355600000004,140168573.42881,0.39056638475485117,0.39122712344569904,38826000.0,38828700.0
12:37.6,0.10073486999999837,4583564.996119916,0.004412669341047729,0.005196688245402339,38647000.0,38609125.0
12:37.7,-1.08723473,-41712316.10005,-0.6431501465145893,-0.6428019851570651,38405500.0,38399600.0
12:37.8,0.6981610199999999,26847257.617459994,0.560086663449184,0.5602347098704029,38442000.0,38441800.0
12:37.9,5.13645738,200038590.35729998,0.6325756214438633,0.631853761667073,38897500.0,38972033.333333336
12:38.1,0.8262087,31827186.168340012,0.16669742795679157,0.16695692040022306,38460500.0,38461100.0
12:38.2,10.9171378,424929310.04086,0.8336476074636283,0.8337104600659,38958500.0,38955000.0
12:38.3,2.6000654699999997,101750276.88601,0.40003641993719063,0.4002828301716357,39110000.0,39112400.0
12:38.4,2.40984151,92763721.29973,0.8455099397580862,0.8456595628008181,38455500.0,38465300.0
12:38.5,-5.5035561600000005,-213712288.1127,-0.7118916989222471,-0.7112057733818783,38851500.0,38855200.0
12:38.6,-1.8185123000000019,-67873989.6456601,-0.07837965099170949,-0.07539248806789968,38647000.0,38736550.0
12:38.7,6.78554851,261818424.49223,0.6274703344563676,0.6279995019910481,38506000.0,38518400.0
12:38.8,0.93182403,35827418.570369996,0.8288907444405998,0.8289358748836995,38443000.0,38443000.0
12:39.0,5.17388113,201615261.12028995,0.6259903053265026,0.6254885286765002,38897500.0,38971733.333333336
12:39.1,0.8450251399999997,32550650.340040013,0.17132389277696272,0.17158310268564408,38460500.0,38461100.0
12:39.2,8.3544797,324894582.00349,0.8339258734850495,0.8340046316113453,38875500.0,38876200.0
12:39.3,3.79821622,148454645.79134998,0.6810855482508855,0.6808004950748873,39094000.0,39094650.0
